MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1352629,Abcc8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",7,,potassium channel activity,,,ISO,Q09428 ,J:164563 
MGI:1352630,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",6,,ATPase-coupled cation transmembrane transporter activity,,,ISO,RGD:3787 ,J:155856 
MGI:1349215,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",X,,ATPase-coupled fatty-acyl-CoA transmembrane transporter activity,,,ISO,P33897 ,J:164563 
MGI:3045421,Ank,progressive ankylosis,15,,phosphate ion transmembrane transporter activity,,,IEA,IPR009887 ,J:72247 
MGI:2142149,Ano1,"anoctamin 1, calcium activated chloride channel",7,,calcium activated cation channel activity,,,ISO,Q5XXA6 ,J:164563 
MGI:2387214,Ano2,anoctamin 2,6,,chloride channel activity,,,IEA,KW-0869 ,J:60000 
MGI:3613666,Ano3,anoctamin 3,2,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:2443344,Ano4,anoctamin 4,10,NOT,intracellular calcium activated chloride channel activity,,,IDA,,J:190271 
MGI:3576659,Ano5,anoctamin 5,7,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:2145890,Ano6,anoctamin 6,15,,calcium activated cation channel activity,,,IDA,,J:188263 
MGI:2145890,Ano6,anoctamin 6,15,,calcium activated cation channel activity,,,ISO,Q4KMQ2 ,J:164563 
MGI:2145890,Ano6,anoctamin 6,15,,chloride channel activity,,,IEA,KW-0869 ,J:60000 
MGI:2145890,Ano6,anoctamin 6,15,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:2145890,Ano6,anoctamin 6,15,,intracellular calcium activated chloride channel activity,,,IDA,,J:165954 J:276401 
MGI:2145890,Ano6,anoctamin 6,15,NOT,intracellular calcium activated chloride channel activity,,,IDA,,J:190271 
MGI:2145890,Ano6,anoctamin 6,15,,intracellular calcium activated chloride channel activity,happens in dendritic cell,,IMP,,J:203552 
MGI:2145890,Ano6,anoctamin 6,15,,voltage-gated chloride channel activity,,,ISO,Q4KMQ2 ,J:164563 
MGI:2145890,Ano6,anoctamin 6,15,,voltage-gated ion channel activity,,,IDA,,J:188263 
MGI:3052714,Ano7,anoctamin 7,1,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:3052714,Ano7,anoctamin 7,1,,intracellular calcium activated chloride channel activity,,PR:Q14AT5-1,IDA,,J:165954 
MGI:3052714,Ano7,anoctamin 7,1,,intracellular calcium activated chloride channel activity,,PR:Q14AT5-2,IDA,,J:165954 
MGI:2687327,Ano8,anoctamin 8,8,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:1918595,Ano9,anoctamin 9,7,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:2143103,Ano10,anoctamin 10,9,,calcium activated cation channel activity,,,ISO,Q9NW15 ,J:164563 
MGI:2143103,Ano10,anoctamin 10,9,NOT,intracellular calcium activated chloride channel activity,happens in fetal thymocyte|happens in experimentally modified cell in vitro,,IDA,,J:198369 
MGI:88246,Anxa2,annexin A2,9,,calcium channel activity,,,IBA,PTN000052598 ,J:265628 
MGI:88246,Anxa2,annexin A2,9,,voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels,,,IBA,PTN000052598 ,J:265628 
MGI:106008,Anxa5,annexin A5,3,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000052798 ,J:265628 
MGI:106008,Anxa5,annexin A5,3,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:2120 ,J:155856 
MGI:88255,Anxa6,annexin A6,11,,calcium channel activity,,,IBA,PTN002574762 ,J:265628 
MGI:88255,Anxa6,annexin A6,11,,ligand-gated ion channel activity,,,IBA,PTN002574762 ,J:265628 
MGI:88255,Anxa6,annexin A6,11,,ligand-gated ion channel activity,,,ISO,P08133 ,J:164563 
MGI:1923711,Anxa9,annexin A9,3,,calcium channel activity,,,IBA,PTN000052598 ,J:265628 
MGI:1923711,Anxa9,annexin A9,3,,voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels,,,IBA,PTN000052598 ,J:265628 
